genename	bnum	geneid	isNonUnique
ydiF	b1694	gene1736	FALSE
nudL	b1813	gene1857	FALSE
nudK	b2467	gene2526	FALSE
nudJ	b1134	gene1148	FALSE
nudI	b2251	gene2306	FALSE
nudG	b1759	gene1801	FALSE
rnb	b1286	gene1313	FALSE
rna	b0611	gene626	FALSE
rng	b3247	gene3307	FALSE
nudB	b1865	gene1913	FALSE
rne	b1084	gene1097	FALSE
gadC	b1492	gene1526	FALSE
yejF	b2180	gene2235	FALSE
gadY	b4452	gene3580	FALSE
trpS	b3384	gene3445	FALSE
rnr	b4179	gene4269	FALSE
gadW	b3515	gene3579	FALSE
ilvA	b3772	gene3853	FALSE
rnt	b1652	gene1691	FALSE
stpA	b2669	gene2728	FALSE
fetA	b0490	gene496	FALSE
mscM	b4159	gene4248	FALSE
mioC	b3742	gene3824	FALSE
araB	b0063	gene61	FALSE
araC	b0064	gene62	FALSE
lsrB	b1516	gene1549	FALSE
araA	b0062	gene60	FALSE
araF	b1901	gene1948	FALSE
araG	b1900	gene1947	FALSE
araD	b0061	gene59	FALSE
araE	b2841	gene2905	FALSE
araJ	b0396	gene401	FALSE
araH	b4460	gene1946	FALSE
yheV	b4551	gene3411	FALSE
ygeG	b2851	gene2916	FALSE
ygeF	b2850	gene2915	FALSE
cedA	b1731	gene1773	FALSE
ygeA	b2840	gene2904	FALSE
yiaD	b3552	gene3619	FALSE
ygeO	b2859	gene2922	FALSE
ygeN	b2858	gene2921	FALSE
ygeK	b2856	gene2920	FALSE
ygeI	b2853	gene2918	FALSE
ygeH	b2852	gene2917	FALSE
fruK	b2168	gene2222	FALSE
ygeV	b2869	gene2931	FALSE
cirA	b2155	gene2209	FALSE
ygeR	b2865	gene2927	FALSE
ygeQ	b2863	gene2925	FALSE
sgbU	b3582	gene3653	FALSE
fruB	b2169	gene2223	FALSE
fruA	b2167	gene2221	FALSE
ygeY	b2872	gene2934	FALSE
ygeX	b2871	gene2933	FALSE
nuoB	b2287	gene2343	FALSE
rraA	b3929	gene4009	FALSE
cnu	b1625	gene1664	FALSE
ypfG	b2466	gene2525	FALSE
nuoC	b2286	gene2342	FALSE
ypfH	b2473	gene2534	FALSE
ypfJ	b2475	gene2536	FALSE
ypfM	b4606	gene2530	FALSE
deaD	b3162	gene3220	FALSE
icd	b1136	gene1150	FALSE
opgD	b1424	gene1459	FALSE
rcbA	b1347	gene1378	FALSE
opgG	b1048	gene1062	FALSE
opgB	b4359	gene4450	FALSE
opgC	b1047	gene1061	FALSE
nuoF	b2284	gene2340	FALSE
borD	b0557	gene566	FALSE
opgH	b1049	gene1063	FALSE
sixA	b2340	gene2395	FALSE
yjjP	b4364	gene4455	FALSE
nuoE	b2285	gene2341	FALSE
uhpC	b3667	gene3747	FALSE
ubiI	b2906	gene2968	FALSE
hdeD	b3511	gene3574	FALSE
hdeB	b3509	gene3572	FALSE
hdeA	b3510	gene3573	FALSE
uhpB	b3668	gene3748	FALSE
ribA	b1277	gene1302	FALSE
ribC	b1662	gene1702	FALSE
ribB	b3041	gene3098	FALSE
ribE	b0415	gene420	FALSE
ribD	b0414	gene419	FALSE
ribF	b0025	gene24	FALSE
bolA	b0435	gene440	FALSE
yqjI	b3071	gene3132	FALSE
pheA	b2599	gene2665	FALSE
yqjK	b3100	gene3161	FALSE
corA	b3816	gene3896	FALSE
yqjA	b3095	gene3156	FALSE
acrD	b2470	gene2529	FALSE
efeU	b4490	gene1033	FALSE
yqjD	b3098	gene3159	FALSE
yqjE	b3099	gene3160	FALSE
pheM	b1715	gene1757	FALSE
